City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
654,jacareacanga,BR,-6.2222,-57.7528,75.2,96,99,1.28,overcast clouds,2022-01-06 23:59:49
655,leh,IN,34.1667,77.5833,0.12,78,17,3.56,few clouds,2022-01-06 23:57:00
656,agadir,MA,30.4202,-9.5982,54.05,54,0,3.71,clear sky,2022-01-06 23:59:49
657,celina,US,40.5489,-84.5702,18.45,80,100,11.88,overcast clouds,2022-01-06 23:59:23
658,mocuba,MZ,-16.8392,36.9856,73.35,97,100,0.65,overcast clouds,2022-01-06 23:59:50
659,los alamos,US,35.8881,-106.307,44.38,60,0,0.0,clear sky,2022-01-06 23:59:50
660,jiazi,CN,22.8779,116.067,60.6,76,79,16.49,broken clouds,2022-01-06 23:59:50
661,la sarre,CA,48.8002,-79.1996,-8.34,95,70,7.27,broken clouds,2022-01-06 23:55:01
662,winchester,GB,51.0651,-1.3187,44.91,88,88,5.01,overcast clouds,2022-01-06 23:59:50
663,kanniyakumari,IN,8.0833,77.5667,77.22,79,28,14.5,scattered clouds,2022-01-06 23:59:51
664,verkhoturye,RU,58.8627,60.8054,9.81,94,100,7.43,snow,2022-01-06 23:59:51
665,bardiyah,LY,31.7561,25.0865,55.35,67,22,9.75,few clouds,2022-01-06 23:59:51
666,faya,SA,18.3851,42.4509,51.91,91,40,5.82,scattered clouds,2022-01-06 23:59:51
667,callaguip,PH,18.0714,120.4867,69.82,94,75,5.75,broken clouds,2022-01-06 23:59:52
668,birin,NP,26.8865,88.0718,45.66,74,26,4.03,scattered clouds,2022-01-06 23:59:52
669,mecca,SA,21.4267,39.8261,71.91,72,73,0.47,broken clouds,2022-01-06 23:59:53
670,bandarbeyla,SO,9.4942,50.8122,76.75,80,29,15.59,light rain,2022-01-06 23:52:20
671,imbituba,BR,-28.24,-48.6703,69.82,76,52,9.17,broken clouds,2022-01-06 23:59:53
672,gainesville,US,29.6516,-82.3248,61.95,71,50,4.97,scattered clouds,2022-01-06 23:59:46
673,kupino,RU,54.3663,77.2981,11.55,89,99,8.21,overcast clouds,2022-01-06 23:59:53
674,kununurra,AU,-15.7667,128.7333,84.18,74,98,10.36,overcast clouds,2022-01-06 23:49:10
675,tshikapa,CD,-6.4167,20.8,69.6,92,100,1.86,overcast clouds,2022-01-06 23:59:54
676,dakar,SN,14.6937,-17.4441,71.73,83,0,13.8,clear sky,2022-01-06 23:59:54
677,governador valadares,BR,-18.8511,-41.9494,74.35,91,100,2.17,moderate rain,2022-01-06 23:59:54
